SrcIP,SrcPort,DstIP,DstPort,StartTime_s,EndTime_s,Duration_s,TotalBytes,TotalPackets,Retransmissions,HandshakeTime_ms,MSS,IsElephant,AvgThroughput_bps
28.108.57.185,16655,95.248.178.203,3389,1744145100.344030,1744145100.344030,0.000001,0,1,0,-1.000,1460,0,0.00
137.121.91.194,58538,118.215.178.203,4443,1744145100.344023,1744145100.344023,0.000001,0,1,0,-1.000,-1,0,0.00
206.91.197.191,32363,101.66.67.150,23,1744145100.344010,1744145100.344010,0.000001,0,1,0,-1.000,-1,0,0.00
159.20.0.185,24738,111.180.178.203,80,1744145100.343986,1744145100.344022,0.000036,0,3,0,-1.000,-1,0,0.00
53.59.66.20,37359,114.205.5.133,18245,1744145100.343923,1744145100.343923,0.000001,0,1,0,-1.000,-1,0,0.00
128.115.207.193,51258,165.224.178.203,6033,1744145100.343791,1744145100.343791,0.000001,0,1,0,-1.000,1460,0,0.00
142.33.161.83,53470,25.99.67.150,3387,1744145100.343751,1744145100.343751,0.000001,0,1,0,-1.000,-1,0,0.00
176.231.28.133,3389,207.22.249.45,43594,1744145100.343715,1744145100.343715,0.000001,31,1,0,-1.000,-1,0,248000000.00
158.131.135.15,37527,202.163.67.150,4505,1744145100.343700,1744145100.343700,0.000001,0,1,0,-1.000,1460,0,0.00
94.235.155.175,2036,248.104.123.199,443,1744145100.343676,1744145100.343676,0.000001,0,1,0,-1.000,-1,0,0.00
225.230.95.8,25204,2.95.164.163,4001,1744145100.343603,1744145100.343603,0.000001,0,1,0,-1.000,1460,0,0.00
124.246.157.221,1024,89.11.67.150,23,1744145100.343598,1744145100.343598,0.000001,0,1,0,-1.000,-1,0,0.00
230.6.67.150,53684,74.243.131.20,443,1744145100.343521,1744145100.343960,0.000439,494,2,0,-1.000,-1,0,9002277.90
147.18.28.133,57438,109.67.53.44,443,1744145100.343421,1744145100.343484,0.000063,0,2,0,-1.000,-1,0,0.00
25.162.12.71,2211,194.159.178.203,34567,1744145100.343330,1744145100.343330,0.000001,0,1,0,-1.000,536,0,0.00
53.59.66.20,40130,40.49.5.133,18245,1744145100.343328,1744145100.343328,0.000001,0,1,0,-1.000,-1,0,0.00
238.129.135.15,33885,98.67.67.150,9037,1744145100.343205,1744145100.343205,0.000001,0,1,0,-1.000,1460,0,0.00
46.73.204.110,51947,18.217.164.163,88,1744145100.343188,1744145100.343188,0.000001,0,1,0,-1.000,-1,0,0.00
239.129.135.15,39859,191.215.5.133,8406,1744145100.343142,1744145100.343142,0.000001,0,1,0,-1.000,1460,0,0.00
49.36.148.202,46080,3.143.92.182,443,1744145100.343131,1744145100.343131,0.000001,93,1,0,-1.000,-1,0,744000000.00
247.114.236.38,60000,86.29.238.103,53797,1744145100.343037,1744145100.343037,0.000001,0,1,0,-1.000,-1,0,0.00
63.29.238.103,53797,247.114.236.38,60000,1744145100.342943,1744145100.342943,0.000001,0,1,0,-1.000,-1,0,0.00
109.66.222.147,52648,59.100.113.131,5001,1744145100.342919,1744145100.342919,0.000001,0,1,0,-1.000,1460,0,0.00
227.129.135.15,39543,101.149.67.150,3074,1744145100.342809,1744145100.342809,0.000001,0,1,0,-1.000,1460,0,0.00
196.151.67.20,44418,59.42.5.133,7473,1744145100.342802,1744145100.342802,0.000001,0,1,0,-1.000,-1,0,0.00
196.151.67.20,54926,79.244.5.133,7473,1744145100.342725,1744145100.342725,0.000001,0,1,0,-1.000,-1,0,0.00
247.114.236.38,60000,63.29.238.103,53797,1744145100.342665,1744145100.342665,0.000001,0,1,0,-1.000,-1,0,0.00
99.108.67.150,53881,222.6.45.104,443,1744145100.342591,1744145100.343833,0.001242,0,3,0,-1.000,-1,0,0.00
25.1.67.150,443,232.33.64.185,62470,1744145100.342563,1744145100.342563,0.000001,0,1,0,-1.000,-1,0,0.00
198.184.178.203,53736,125.153.101.23,443,1744145100.342467,1744145100.342467,0.000001,1,1,0,-1.000,-1,0,8000000.00
95.182.178.203,22,64.102.170.220,39150,1744145100.342353,1744145100.342353,0.000001,0,1,0,-1.000,-1,0,0.00
179.49.192.3,52647,151.19.5.133,49204,1744145100.342256,1744145100.342256,0.000001,0,1,0,-1.000,1460,0,0.00
64.131.70.162,9633,139.202.67.150,2087,1744145100.342192,1744145100.342192,0.000001,0,1,0,-1.000,1460,0,0.00
110.53.211.24,55191,118.122.67.150,23,1744145100.342189,1744145100.342189,0.000001,0,1,0,-1.000,-1,0,0.00
69.182.89.167,46321,147.38.113.131,6443,1744145100.342065,1744145100.342065,0.000001,0,1,0,-1.000,1460,0,0.00
93.28.238.103,22,46.58.165.218,11678,1744145100.341821,1744145100.341864,0.000043,64,2,0,-1.000,-1,0,11906976.74
205.191.47.195,41267,27.223.67.150,15904,1744145100.341667,1744145100.341667,0.000001,0,1,0,-1.000,1460,0,0.00
35.135.246.24,49274,154.168.15.133,23,1744145100.341607,1744145100.341607,0.000001,0,1,0,-1.000,-1,0,0.00
141.191.47.195,48751,84.245.67.150,15384,1744145100.341556,1744145100.341556,0.000001,0,1,0,-1.000,-1,0,0.00
74.138.28.133,22,49.58.165.218,58026,1744145100.341550,1744145100.341550,0.000001,0,1,0,-1.000,-1,0,0.00
164.230.10.206,5579,98.237.178.203,2628,1744145100.341511,1744145100.341511,0.000001,0,1,0,-1.000,1460,0,0.00
233.131.70.162,23389,235.148.178.203,51173,1744145100.341448,1744145100.341448,0.000001,0,1,0,-1.000,1460,0,0.00
238.129.135.15,35375,75.218.5.133,9037,1744145100.341202,1744145100.341202,0.000001,0,1,0,-1.000,1460,0,0.00
17.245.35.18,39213,48.179.67.150,1434,1744145100.341054,1744145100.341054,0.000001,0,1,0,-1.000,1460,0,0.00
91.252.27.156,38951,192.178.178.203,8088,1744145100.340949,1744145100.340949,0.000001,0,1,0,-1.000,-1,0,0.00
196.75.157.103,48806,180.217.28.133,22,1744145100.340943,1744145100.341617,0.000674,48,2,0,-1.000,-1,0,569732.94
97.59.179.103,54212,15.162.24.202,81,1744145100.340938,1744145100.340938,0.000001,9,1,0,-1.000,-1,0,72000000.00
89.206.151.18,44000,27.255.178.203,9200,1744145100.340872,1744145100.340872,0.000001,0,1,0,-1.000,1460,0,0.00
16.176.236.160,41678,40.25.15.133,3129,1744145100.340700,1744145100.340700,0.000001,0,1,0,-1.000,-1,0,0.00
117.215.173.157,45824,148.228.43.65,183,1744145100.340688,1744145100.343954,0.003266,0,12,0,-1.000,-1,0,0.00
131.222.211.3,56935,57.246.67.150,32768,1744145100.340687,1744145100.340687,0.000001,0,1,0,-1.000,1460,0,0.00
55.186.178.203,80,164.158.38.78,52984,1744145100.340547,1744145100.340547,0.000001,0,1,0,-1.000,1460,0,0.00
159.199.76.109,49961,22.187.178.203,3124,1744145100.340326,1744145100.340326,0.000001,0,1,0,-1.000,1412,0,0.00
180.175.53.175,42380,144.248.5.133,23,1744145100.340270,1744145100.340270,0.000001,0,1,0,-1.000,1460,0,0.00
249.115.207.193,55163,91.9.5.133,7999,1744145100.340182,1744145100.340182,0.000001,0,1,0,-1.000,1460,0,0.00
135.230.10.206,57531,82.90.164.163,42799,1744145100.340154,1744145100.340154,0.000001,0,1,0,-1.000,1460,0,0.00
50.175.28.133,64415,179.215.41.104,443,1744145100.340070,1744145100.340070,0.000001,0,1,0,-1.000,1460,0,0.00
206.191.47.195,57116,125.163.178.203,830,1744145100.340037,1744145100.341640,0.001603,0,2,0,-1.000,-1,0,0.00
143.236.163.59,38065,102.224.178.203,23,1744145100.340035,1744145100.340035,0.000001,0,1,0,-1.000,1452,0,0.00
134.115.207.193,50395,49.244.178.203,5904,1744145100.339977,1744145100.339977,0.000001,0,1,0,-1.000,1460,0,0.00
142.33.161.83,53470,56.59.5.133,3398,1744145100.339902,1744145100.339902,0.000001,0,1,0,-1.000,-1,0,0.00
81.8.177.46,2604,143.164.24.202,42852,1744145100.339838,1744145100.339838,0.000001,231,1,0,-1.000,-1,0,1848000000.00
158.150.27.122,24717,56.27.5.133,23,1744145100.339820,1744145100.339820,0.000001,0,1,0,-1.000,-1,0,0.00
40.172.108.65,58956,96.106.123.199,443,1744145100.339793,1744145100.339793,0.000001,0,1,0,-1.000,1460,0,0.00
67.166.55.170,40638,164.14.67.150,8728,1744145100.339764,1744145100.339764,0.000001,0,1,0,-1.000,-1,0,0.00
84.141.67.150,50215,74.243.131.20,443,1744145100.339754,1744145100.339754,0.000001,0,1,0,-1.000,1460,0,0.00
65.32.161.83,55634,152.229.178.203,5367,1744145100.339678,1744145100.339678,0.000001,0,1,0,-1.000,-1,0,0.00
15.190.197.36,63296,248.104.123.199,443,1744145100.339673,1744145100.339673,0.000001,0,1,0,-1.000,1400,0,0.00
110.244.158.141,55418,148.185.178.203,5555,1744145100.339601,1744145100.339601,0.000001,0,1,0,-1.000,-1,0,0.00
92.169.93.185,36836,227.195.152.202,80,1744145100.339590,1744145100.339590,0.000001,0,1,0,-1.000,-1,0,0.00
193.236.83.154,58686,16.150.67.150,80,1744145100.339580,1744145100.339580,0.000001,0,1,0,-1.000,-1,0,0.00
106.115.207.193,58819,15.155.67.150,2107,1744145100.339574,1744145100.339574,0.000001,0,1,0,-1.000,1460,0,0.00
94.137.11.156,56099,212.3.5.133,5005,1744145100.339567,1744145100.339567,0.000001,0,1,0,-1.000,-1,0,0.00
109.102.197.91,3323,159.233.178.203,5080,1744145100.339556,1744145100.339556,0.000001,0,1,0,-1.000,1460,0,0.00
94.175.2.47,19737,13.139.67.150,9200,1744145100.339541,1744145100.339541,0.000001,0,1,0,-1.000,1460,0,0.00
107.69.72.211,34607,95.19.164.163,23,1744145100.339539,1744145100.339539,0.000001,0,1,0,-1.000,1460,0,0.00
