SrcIP,SrcPort,DstIP,DstPort,RTT_ms
148.228.43.65,183,117.215.173.157,45824,1.403
148.228.43.65,183,117.215.173.157,45824,1.350
148.228.43.65,183,117.215.173.157,45824,1.373
148.228.43.65,183,117.215.173.157,45824,1.370
148.228.43.65,183,117.215.173.157,45824,1.380
148.228.43.65,183,117.215.173.157,45824,1.354
148.228.43.65,183,117.215.173.157,45824,1.424
148.228.43.65,183,117.215.173.157,45824,1.411
148.228.43.65,183,117.215.173.157,45824,1.418
148.228.43.65,183,117.215.173.157,45824,1.426
148.228.43.65,183,117.215.173.157,45824,1.387
148.228.43.65,183,117.215.173.157,45824,1.431
148.228.43.65,183,117.215.173.157,40922,1.452
55.186.178.203,80,11.14.125.133,44419,1.730
55.186.178.203,80,11.14.125.133,44419,1.720
55.186.178.203,80,11.14.125.133,44419,1.767
55.186.178.203,80,11.14.125.133,44419,1.761
55.186.178.203,80,11.14.125.133,44419,1.768
55.186.178.203,80,11.14.125.133,44419,1.809
55.186.178.203,80,11.14.125.133,44419,1.836
55.186.178.203,80,11.14.125.133,44419,1.858
55.186.178.203,80,11.14.125.133,44419,1.874
55.186.178.203,80,11.14.125.133,44419,1.763
55.186.178.203,80,11.14.125.133,44419,1.823
55.186.178.203,80,11.14.125.133,44419,1.776
55.186.178.203,80,11.14.125.133,44419,1.785
55.186.178.203,80,11.14.125.133,44419,1.832
55.186.178.203,80,11.14.125.133,44419,1.627
55.186.178.203,80,11.14.125.133,44419,1.625
55.186.178.203,80,11.14.125.133,44419,1.646
55.186.178.203,80,11.14.125.133,44419,1.887
55.186.178.203,80,11.14.125.133,44419,1.680
55.186.178.203,80,11.14.125.133,44419,1.576
119.78.192.3,60846,124.35.148.202,2000,0.547
203.70.64.200,36535,46.36.148.202,22,0.745
64.102.170.220,39150,95.182.178.203,22,16.149
149.236.14.192,65283,76.183.178.203,22,1.817
150.20.0.185,47918,44.190.178.203,443,5.150
212.115.61.116,443,45.53.15.133,58962,0.989
25.253.166.51,33238,93.56.67.150,443,8.028
3.86.149.18,50276,55.186.178.203,443,2.669
76.12.53.164,443,96.118.67.150,13938,8.573
252.253.227.156,80,236.108.67.150,44580,9.298
252.253.227.156,80,236.108.67.150,44580,9.453
252.253.227.156,80,236.108.67.150,44580,9.222
252.253.227.156,80,236.108.67.150,44580,9.574
11.9.43.65,80,58.45.15.133,40961,1.857
46.58.165.218,11678,93.28.238.103,22,28.980
6.210.110.3,443,50.36.148.202,48300,4.988
6.210.110.3,443,50.36.148.202,48300,1.000
6.210.110.3,443,50.36.148.202,48300,0.874
164.236.219.103,34148,45.190.178.203,443,0.130
45.146.241.128,80,53.108.67.150,55968,10.703
45.146.241.128,80,53.108.67.150,55968,19.495
46.146.241.128,443,255.178.67.150,62324,11.967
179.253.33.104,443,152.246.67.150,53574,11.186
50.36.148.202,48300,6.210.110.3,443,3.840
50.36.148.202,48300,6.210.110.3,443,3.613
55.186.178.203,80,48.97.212.49,53662,7.648
55.186.178.203,80,48.97.212.49,53662,7.621
55.186.178.203,80,48.97.212.49,53662,7.746
55.186.178.203,80,48.97.212.49,53662,7.706
55.186.178.203,80,48.97.212.49,53662,7.890
55.186.178.203,80,48.97.212.49,53662,7.791
55.186.178.203,80,48.97.212.49,53662,7.923
55.186.178.203,80,48.97.212.49,53662,7.630
55.186.178.203,80,48.97.212.49,53662,7.646
55.186.178.203,80,48.97.212.49,53662,7.368
55.186.178.203,80,48.97.212.49,53662,7.618
55.186.178.203,80,48.97.212.49,53662,19.120
55.186.178.203,80,48.97.212.49,53662,7.515
55.186.178.203,80,48.97.212.49,53662,18.949
55.186.178.203,80,48.97.212.49,53662,7.326
55.186.178.203,80,48.97.212.49,53662,7.344
55.186.178.203,80,48.97.212.49,53662,8.067
55.186.178.203,80,48.97.212.49,53662,7.792
55.186.178.203,80,48.97.212.49,53662,18.371
55.186.178.203,80,48.97.212.49,53662,18.326
55.186.178.203,80,48.97.212.49,53662,18.255
55.186.178.203,80,48.97.212.49,53662,7.502
55.186.178.203,80,48.97.212.49,53662,18.093
55.186.178.203,80,48.97.212.49,53662,8.796
55.186.178.203,80,48.97.212.49,53662,7.364
55.186.178.203,80,48.97.212.49,53662,7.329
55.186.178.203,80,48.97.212.49,53662,8.583
55.186.178.203,80,48.97.212.49,53662,8.540
55.186.178.203,80,48.97.212.49,53662,7.752
55.186.178.203,80,48.97.212.49,53662,7.703
55.186.178.203,80,48.97.212.49,53662,8.265
55.186.178.203,80,48.97.212.49,53662,7.628
55.186.178.203,80,48.97.212.49,53662,7.558
55.186.178.203,80,48.97.212.49,53662,7.456
55.186.178.203,80,48.97.212.49,53662,7.425
55.186.178.203,80,48.97.212.49,53662,7.357
55.186.178.203,80,48.97.212.49,53662,7.290
55.186.178.203,80,48.97.212.49,53662,7.548
55.186.178.203,80,48.97.212.49,53662,7.447
55.186.178.203,80,48.97.212.49,53662,7.365
55.186.178.203,80,48.97.212.49,53662,7.318
55.186.178.203,80,48.97.212.49,53662,7.292
55.186.178.203,80,48.97.212.49,53662,16.074
55.186.178.203,80,48.97.212.49,53662,14.660
55.186.178.203,80,48.97.212.49,53662,14.086
55.186.178.203,80,48.97.212.49,53662,13.974
55.186.178.203,80,48.97.212.49,53662,13.433
55.186.178.203,80,48.97.212.49,53662,13.346
55.186.178.203,80,48.97.212.49,53662,12.766
55.186.178.203,80,48.97.212.49,53662,12.559
55.186.178.203,80,48.97.212.49,53662,12.537
55.186.178.203,80,48.97.212.49,53662,11.952
55.186.178.203,80,48.97.212.49,53662,11.880
55.186.178.203,80,48.97.212.49,53662,11.302
55.186.178.203,80,48.97.212.49,53662,11.243
55.186.178.203,80,48.97.212.49,53662,10.715
55.186.178.203,80,48.97.212.49,53662,10.217
55.186.178.203,80,48.97.212.49,53662,10.193
55.186.178.203,80,48.97.212.49,53662,9.703
55.186.178.203,80,48.97.212.49,53662,9.679
55.186.178.203,80,48.97.212.49,53662,9.197
55.186.178.203,80,48.97.212.49,53662,9.181
55.186.178.203,80,48.97.212.49,53662,8.870
55.186.178.203,80,48.97.212.49,53662,8.647
55.186.178.203,80,48.97.212.49,53662,8.451
55.186.178.203,80,48.97.212.49,53662,8.308
55.186.178.203,80,48.97.212.49,53662,8.246
55.186.178.203,80,48.97.212.49,53662,8.135
55.186.178.203,80,48.97.212.49,53662,7.986
55.186.178.203,80,48.97.212.49,53662,7.872
55.186.178.203,80,48.97.212.49,53662,7.760
55.186.178.203,80,48.97.212.49,53662,7.741
55.186.178.203,80,48.97.212.49,53662,7.630
55.186.178.203,80,48.97.212.49,53662,7.555
55.186.178.203,80,48.97.212.49,53662,7.501
55.186.178.203,80,48.97.212.49,53662,7.312
55.186.178.203,80,48.97.212.49,53662,7.337
170.216.126.153,1883,106.185.178.203,58215,9.293
170.216.126.153,1883,104.185.178.203,55520,9.157
170.216.126.153,1883,104.185.178.203,48220,9.173
225.187.246.219,57808,156.73.2.202,5432,7.759
170.216.126.153,1883,106.185.178.203,54168,9.313
170.216.126.153,1883,106.185.178.203,54168,9.248
56.80.166.80,57266,4.34.148.202,20001,1.131
76.12.53.164,443,211.108.67.150,44972,12.018
48.97.212.49,53662,55.186.178.203,80,2.573
145.236.238.38,873,55.186.178.203,41294,2.451
145.236.238.38,873,55.186.178.203,41294,2.409
145.236.238.38,873,55.186.178.203,41294,2.431
62.165.238.192,8443,95.198.5.133,60884,8.959
202.190.125.52,443,36.36.148.202,58400,0.634
202.190.125.52,443,36.36.148.202,58400,0.627
232.152.236.37,443,212.82.15.133,57386,0.720
232.152.236.37,443,212.82.15.133,57386,0.672
232.152.236.37,443,212.82.15.133,57386,0.690
174.65.220.23,80,36.36.148.202,49208,0.574
82.234.7.162,873,93.56.67.150,47718,8.035
82.234.7.162,873,93.56.67.150,47718,8.063
82.234.7.162,873,93.56.67.150,47718,8.074
82.234.7.162,873,93.56.67.150,47718,8.056
82.234.7.162,873,93.56.67.150,47718,8.058
82.234.7.162,873,93.56.67.150,47718,8.047
82.234.7.162,873,93.56.67.150,47718,8.027
36.36.148.202,49208,174.65.220.23,80,0.389
222.6.45.104,443,99.108.67.150,53881,8.340
222.6.45.104,443,99.108.67.150,53881,8.752
