SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
28.108.57.185,16655,95.248.178.203,3389,24,1
137.121.91.194,58538,118.215.178.203,4443,20,1
206.91.197.191,32363,101.66.67.150,23,20,1
53.59.66.20,37359,114.205.5.133,18245,20,1
128.115.207.193,51258,165.224.178.203,6033,24,1
142.33.161.83,53470,25.99.67.150,3387,20,1
176.231.28.133,3389,207.22.249.45,43594,51,1
158.131.135.15,37527,202.163.67.150,4505,32,1
225.230.95.8,25204,2.95.164.163,4001,32,1
124.246.157.221,1024,89.11.67.150,23,20,1
230.6.67.150,53684,74.243.131.20,443,526,1
25.162.12.71,2211,194.159.178.203,34567,24,1
53.59.66.20,40130,40.49.5.133,18245,20,1
238.129.135.15,33885,98.67.67.150,9037,32,1
46.73.204.110,51947,18.217.164.163,88,20,1
239.129.135.15,39859,191.215.5.133,8406,32,1
49.36.148.202,46080,3.143.92.182,443,125,1
247.114.236.38,60000,86.29.238.103,53797,20,1
109.66.222.147,52648,59.100.113.131,5001,24,1
227.129.135.15,39543,101.149.67.150,3074,32,1
196.151.67.20,44418,59.42.5.133,7473,20,1
196.151.67.20,54926,79.244.5.133,7473,20,1
247.114.236.38,60000,63.29.238.103,53797,20,1
25.1.67.150,443,232.33.64.185,62470,40,1
198.184.178.203,53736,125.153.101.23,443,21,1
179.49.192.3,52647,151.19.5.133,49204,32,1
64.131.70.162,9633,139.202.67.150,2087,40,1
110.53.211.24,55191,118.122.67.150,23,20,1
69.182.89.167,46321,147.38.113.131,6443,40,1
93.28.238.103,22,46.58.165.218,11678,96,1
205.191.47.195,41267,27.223.67.150,15904,32,1
35.135.246.24,49274,154.168.15.133,23,20,1
141.191.47.195,48751,84.245.67.150,15384,20,1
74.138.28.133,22,49.58.165.218,58026,40,1
164.230.10.206,5579,98.237.178.203,2628,40,1
233.131.70.162,23389,235.148.178.203,51173,40,1
238.129.135.15,35375,75.218.5.133,9037,32,1
17.245.35.18,39213,48.179.67.150,1434,32,1
91.252.27.156,38951,192.178.178.203,8088,20,1
196.75.157.103,48806,180.217.28.133,22,80,1
97.59.179.103,54212,15.162.24.202,81,29,1
89.206.151.18,44000,27.255.178.203,9200,32,1
16.176.236.160,41678,40.25.15.133,3129,20,1
131.222.211.3,56935,57.246.67.150,32768,32,1
55.186.178.203,80,164.158.38.78,52984,40,1
159.199.76.109,49961,22.187.178.203,3124,32,1
180.175.53.175,42380,144.248.5.133,23,40,1
249.115.207.193,55163,91.9.5.133,7999,24,1
135.230.10.206,57531,82.90.164.163,42799,40,1
50.175.28.133,64415,179.215.41.104,443,32,1
143.236.163.59,38065,102.224.178.203,23,40,1
134.115.207.193,50395,49.244.178.203,5904,24,1
142.33.161.83,53470,56.59.5.133,3398,20,1
81.8.177.46,2604,143.164.24.202,42852,251,1
158.150.27.122,24717,56.27.5.133,23,20,1
40.172.108.65,58956,96.106.123.199,443,44,1
67.166.55.170,40638,164.14.67.150,8728,20,1
84.141.67.150,50215,74.243.131.20,443,44,1
65.32.161.83,55634,152.229.178.203,5367,20,1
15.190.197.36,63296,248.104.123.199,443,44,1
110.244.158.141,55418,148.185.178.203,5555,20,1
92.169.93.185,36836,227.195.152.202,80,20,1
193.236.83.154,58686,16.150.67.150,80,20,1
106.115.207.193,58819,15.155.67.150,2107,24,1
94.137.11.156,56099,212.3.5.133,5005,20,1
109.102.197.91,3323,159.233.178.203,5080,40,1
94.175.2.47,19737,13.139.67.150,9200,32,1
